Country Name,Region,Image URL,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
Guinea-Bissau,Africa,https://public.flourish.studio/country-flags/svg/gw.svg,"83,832","85,701","87,534","89,409","91,423","93,636","96,077","98,716","101,553","104,555","107,714","111,066","114,597","118,116","121,363","124,166","126,390","128,139","129,763","132,896","142,584","153,803","166,642","181,021","196,648","213,220","230,720","249,238","268,872","289,755","312,086","335,935","353,604","366,140","378,626","390,840","402,681","414,249","425,826","437,838","450,583","464,188","478,655","493,958","510,052","526,886","544,513","562,969","582,341","602,670","624,079","646,570","670,130","694,626","719,894","745,799","772,271","799,328"
Guyana,Americas,https://public.flourish.studio/country-flags/svg/gy.svg,"165,879","171,178","176,362","181,350","186,053","190,404","194,366","197,956","201,240","204,333","207,427","210,772","213,993","217,150","220,306","223,506","226,803","230,145","233,309","236,020","237,853","237,615","236,757","235,359","233,527","231,385","228,902","226,138","223,440","221,261","219,893","219,513","219,981","220,884","221,633","221,817","221,305","220,236","218,828","217,384","216,152","215,192","214,422","212,828","210,944","208,928","206,755","204,490","202,288","200,360","198,838","197,762","198,816","200,133","201,643","203,203","204,786","206,428"
Haiti,Americas,https://public.flourish.studio/country-flags/svg/ht.svg,"602,850","629,952","658,297","687,867","718,762","750,865","784,391","819,267","855,429","892,548","930,522","969,272","991,063","1,009,494","1,028,620","1,048,838","1,070,226","1,092,801","1,116,599","1,141,808","1,168,544","1,196,784","1,226,487","1,302,253","1,391,406","1,485,028","1,583,256","1,686,119","1,793,886","1,906,374","2,024,134","2,147,014","2,275,188","2,363,888","2,454,974","2,548,475","2,644,564","2,741,190","2,840,010","2,940,867","3,043,515","3,238,068","3,439,803","3,648,520","3,800,782","3,949,730","4,102,900","4,259,888","4,420,738","4,584,343","4,750,718","4,919,540","5,090,792","5,263,874","5,438,899","5,615,488","5,792,042","5,967,859"
Honduras,Americas,https://public.flourish.studio/country-flags/svg/hn.svg,"463,729","488,840","515,201","542,894","572,154","603,018","635,698","670,213","706,658","744,940","785,169","827,378","871,724","918,310","965,837","1,012,512","1,061,601","1,113,141","1,167,179","1,223,687","1,282,618","1,344,028","1,407,993","1,474,547","1,543,748","1,615,507","1,689,928","1,767,080","1,846,274","1,924,162","2,004,926","2,088,583","2,175,123","2,264,421","2,356,590","2,451,524","2,549,111","2,649,332","2,752,170","2,857,698","2,965,809","3,076,399","3,198,917","3,324,676","3,452,734","3,582,381","3,713,765","3,846,663","3,980,888","4,115,940","4,251,861","4,388,181","4,525,174","4,662,910","4,802,256","4,943,241","5,086,164","5,230,779"
"Hong Kong SAR, China",Asia,https://public.flourish.studio/country-flags/svg/hk.svg,"2,620,415","2,702,168","2,828,656","2,937,424","3,019,108","3,109,377","3,146,833","3,237,272","3,316,715","3,379,985","3,473,191","3,561,442","3,648,314","3,770,528","3,909,419","4,001,832","4,069,679","4,145,727","4,238,137","4,493,175","4,631,623","4,758,050","4,848,078","4,937,590","5,001,316","5,069,901","5,206,825","5,405,272","5,532,437","5,634,683","5,676,947","5,742,337","5,799,282","5,901,000","6,035,400","6,156,100","6,435,500","6,489,300","6,543,700","6,606,500","6,665,000","6,714,300","6,744,100","6,730,800","6,783,500","6,813,200","6,857,100","6,916,300","6,957,800","6,972,800","7,024,200","7,071,600","7,150,100","7,178,900","7,229,500","7,291,300","7,336,600","7,391,700"
Hungary,Europe,https://public.flourish.studio/country-flags/svg/hu.svg,"5,582,136","5,650,018","5,710,839","5,768,389","5,829,329","5,888,035","5,948,507","6,013,391","6,079,237","6,147,411","6,214,324","6,276,403","6,339,439","6,404,030","6,476,897","6,559,474","6,640,071","6,715,287","6,782,725","6,839,204","6,875,576","6,895,431","6,910,744","6,919,717","6,925,194","6,931,780","6,938,994","6,946,357","6,954,686","6,898,019","6,830,026","6,816,672","6,800,940","6,780,138","6,757,831","6,735,415","6,710,863","6,684,288","6,655,715","6,623,887","6,593,735","6,588,305","6,611,324","6,633,742","6,660,205","6,694,281","6,737,243","6,779,707","6,820,246","6,861,506","6,891,116","6,916,190","6,912,310","6,920,508","6,928,924","6,939,335","6,946,267","6,950,664"
Iceland,Europe,https://public.flourish.studio/country-flags/svg/is.svg,"140,986","144,661","148,268","151,829","155,450","159,059","162,665","166,198","169,365","171,812","173,568","175,738","179,084","182,557","185,790","188,920","191,538","193,688","195,917","198,545","201,355","204,294","207,668","211,056","213,929","216,226","218,415","221,413","225,500","228,892","231,255","234,420","237,854","240,747","243,303","245,081","246,857","249,329","252,455","255,931","259,836","263,687","266,425","268,644","271,378","276,072","283,000","290,623","296,449","297,832","297,604","298,556","300,190","303,150","306,653","309,974","314,424","320,032"
India,Asia,https://public.flourish.studio/country-flags/svg/in.svg,"80,564,904","82,675,812","85,233,375","87,889,023","90,647,749","93,493,389","96,433,890","99,476,360","102,633,471","105,929,223","109,387,114","113,194,002","117,742,214","122,484,460","127,425,919","132,536,083","137,816,239","143,275,833","148,932,756","154,813,017","160,943,057","166,990,850","172,591,889","178,363,968","184,282,446","190,320,201","196,478,756","202,752,462","209,148,059","215,666,932","222,293,000","228,922,786","235,420,524","242,019,983","248,732,500","255,555,657","262,509,794","269,578,709","276,751,329","284,012,050","291,347,596","299,135,188","307,805,121","316,585,717","325,487,024","334,483,094","343,585,192","352,795,471","362,089,053","371,408,805","380,742,328","390,085,540","399,558,252","409,178,263","419,003,394","429,068,623","439,386,539","449,964,523"
Indonesia,Asia,https://public.flourish.studio/country-flags/svg/id.svg,"12,805,416","13,359,388","13,937,384","14,542,566","15,175,879","15,837,771","16,530,973","17,255,493","18,008,881","18,792,477","19,603,445","20,445,316","21,523,171","22,711,492","23,954,541","25,251,977","26,605,142","28,010,966","29,477,937","31,006,079","32,601,270","34,445,822","36,472,749","38,586,526","40,783,091","43,050,032","45,389,398","47,800,744","50,288,263","52,847,933","55,490,637","58,362,649","61,405,143","64,532,549","67,750,902","71,054,514","74,438,287","77,897,532","81,448,955","85,097,234","88,851,211","91,772,317","94,763,911","97,825,035","100,959,778","104,156,362","107,421,779","110,751,388","114,147,586","117,597,550","121,053,491","124,315,715","127,617,366","130,943,362","134,288,263","137,633,967","140,973,624","144,295,048"
"Iran, Islamic Rep.",Asia,https://public.flourish.studio/country-flags/svg/ir.svg,"7,390,294","7,730,791","8,086,767","8,458,177","8,845,955","9,250,362","9,673,820","10,147,477","10,660,982","11,195,224","11,751,194","12,330,342","12,936,159","13,573,156","14,250,075","14,973,247","15,744,067","16,524,650","17,342,416","18,235,549","19,215,399","20,283,359","21,433,795","22,658,786","23,945,617","25,278,636","26,664,206","28,013,726","29,327,994","30,562,343","31,672,210","32,626,626","33,589,063","34,521,071","35,464,779","36,488,345","37,619,262","38,788,361","39,994,126","41,196,375","42,352,162","43,450,296","44,507,326","45,534,748","46,552,259","47,575,567","48,605,193","49,603,499","50,597,057","51,614,455","52,664,050","53,750,006","54,859,262","55,981,911","57,106,798","58,217,266","59,308,964","60,380,245"
Iraq,Asia,https://public.flourish.studio/country-flags/svg/iq.svg,"3,127,235","3,321,448","3,528,454","3,749,759","3,987,431","4,242,423","4,487,186","4,737,203","5,002,620","5,280,598","5,569,344","5,867,812","6,176,424","6,495,465","6,827,089","7,171,884","7,530,295","7,900,718","8,252,709","8,597,948","8,945,815","9,296,422","9,650,421","10,005,628","10,359,812","10,711,420","11,059,207","11,405,874","11,668,254","11,909,218","12,176,945","12,474,134","12,798,353","13,147,121","13,515,432","13,899,329","14,298,823","14,713,431","15,175,468","15,658,268","16,141,365","16,624,505","17,109,357","17,595,415","18,082,668","18,572,614","19,061,426","19,553,343","20,065,626","20,621,331","21,257,949","21,976,695","22,757,429","23,580,975","24,419,541","25,252,423","26,076,771","26,898,636"
Ireland,Europe,https://public.flourish.studio/country-flags/svg/ie.svg,"1,278,075","1,282,080","1,293,324","1,306,885","1,319,272","1,330,262","1,347,250","1,387,226","1,427,337","1,469,698","1,516,360","1,563,915","1,597,717","1,634,072","1,672,099","1,710,683","1,747,737","1,782,727","1,819,520","1,855,360","1,888,405","1,921,042","1,944,867","1,964,356","1,982,219","1,991,056","1,997,341","2,002,008","1,997,871","1,994,394","2,000,470","2,017,094","2,038,731","2,056,779","2,072,766","2,091,287","2,116,049","2,146,414","2,178,016","2,211,944","2,250,951","2,296,510","2,345,367","2,394,915","2,450,379","2,515,791","2,595,694","2,680,715","2,744,952","2,782,090","2,806,411","2,827,835","2,849,043","2,873,286","2,903,635","2,940,510","2,983,355","3,030,022"
Isle of Man,Europe,https://public.flourish.studio/country-flags/svg/im.svg,"26,703","26,721","26,914","27,243","27,692","28,232","28,827","29,348","29,903","30,446","30,944","31,307","31,303","31,256","31,201","31,168","31,301","31,824","32,321","32,705","32,909","32,901","32,718","32,477","32,349","32,455","32,838","33,451","34,182","34,873","35,409","35,754","35,956","36,057","36,147","36,284","36,478","36,710","36,986","37,282","37,600","37,938","38,302","38,688","39,092","39,509","39,935","40,371","40,805","41,230","41,633","42,004","42,369","42,725","43,081","43,451","43,830","44,215"
Israel,Asia,https://public.flourish.studio/country-flags/svg/il.svg,"1,624,582","1,703,972","1,805,829","1,891,353","1,985,742","2,074,492","2,146,053","2,259,135","2,325,145","2,404,654","2,503,959","2,602,174","2,686,849","2,812,295","2,911,784","2,993,516","3,075,582","3,159,569","3,241,222","3,339,820","3,435,249","3,518,466","3,599,159","3,678,408","3,731,413","3,802,419","3,866,349","3,934,022","4,004,463","4,077,721","4,210,729","4,477,014","4,639,645","4,769,938","4,900,510","5,038,520","5,176,476","5,311,285","5,438,029","5,582,264","5,735,757","5,876,682","6,000,381","6,113,918","6,227,239","6,342,289","6,459,778","6,579,915","6,702,316","6,869,011","7,000,447","7,136,149","7,274,496","7,417,238","7,566,988","7,724,692","7,884,198","8,044,682"
Italy,Europe,https://public.flourish.studio/country-flags/svg/it.svg,"29,799,044","30,249,038","30,708,292","31,188,380","31,702,827","32,227,841","32,737,193","33,233,152","33,703,021","34,152,929","34,592,379","35,012,585","35,369,083","35,720,365","36,065,654","36,393,136","36,687,131","36,955,192","37,198,851","37,418,639","37,607,540","37,764,025","37,819,718","37,822,134","37,819,273","37,818,886","37,809,627","37,802,166","37,809,110","37,826,147","37,846,480","37,861,339","37,907,512","37,964,793","38,006,634","38,041,344","38,086,153","38,140,443","38,185,563","38,226,137","38,277,624","38,333,314","38,447,500","38,686,985","39,006,818","39,267,369","39,454,178","39,722,857","40,056,298","40,308,358","40,502,481","40,641,670","40,894,259","41,548,775","42,109,853","42,247,229","42,351,339","42,473,185"
Jamaica,Americas,https://public.flourish.studio/country-flags/svg/jm.svg,"549,844","569,528","590,694","612,967","635,781","658,582","681,218","703,844","726,876","750,788","774,982","796,983","820,270","844,363","868,585","892,468","915,684","938,323","961,130","985,111","1,010,986","1,039,149","1,068,777","1,091,723","1,113,374","1,132,462","1,148,457","1,161,850","1,173,693","1,185,561","1,198,642","1,213,438","1,230,117","1,247,776","1,265,948","1,284,325","1,302,902","1,321,739","1,340,545","1,358,914","1,376,628","1,393,465","1,408,397","1,422,359","1,436,019","1,449,489","1,462,893","1,476,104","1,489,116","1,501,782","1,514,053","1,525,946","1,537,886","1,549,957","1,562,242","1,574,768","1,587,569","1,600,590"
Japan,Asia,https://public.flourish.studio/country-flags/svg/jp.svg,"58,526,962","60,965,749","62,428,798","63,957,880","65,516,029","67,107,937","68,559,722","70,019,991","71,062,053","73,357,355","75,000,056","76,805,782","78,731,730","80,216,234","82,593,959","84,756,490","85,642,808","86,538,157","87,391,419","88,197,927","88,958,689","89,733,659","90,474,900","91,224,787","91,937,389","92,632,808","93,348,378","93,963,675","94,519,909","95,061,557","95,542,280","96,005,316","96,414,127","96,821,759","97,320,876","97,862,490","98,272,808","98,667,335","99,095,072","99,434,460","99,760,751","101,706,485","104,055,019","106,256,267","108,136,910","109,856,670","111,383,848","112,827,761","114,107,975","115,228,215","116,302,928","116,416,235","116,331,281","116,262,976","116,208,079","116,182,717","116,145,370","116,053,379"
Jordan,Asia,https://public.flourish.studio/country-flags/svg/jo.svg,"474,323","510,012","537,329","562,059","593,841","636,249","691,257","757,013","828,505","898,627","962,093","1,017,263","1,065,614","1,108,618","1,149,070","1,189,272","1,229,301","1,269,035","1,310,567","1,356,337","1,425,342","1,512,748","1,609,602","1,714,596","1,825,407","1,940,194","2,057,170","2,177,218","2,305,104","2,447,642","2,609,586","2,794,619","2,999,402","3,212,456","3,417,414","3,576,331","3,689,147","3,780,379","3,855,845","3,924,560","3,994,220","4,065,614","4,139,892","4,226,106","4,335,533","4,541,861","4,804,948","5,101,393","5,431,462","5,793,037","6,183,176","6,603,229","7,048,251","7,498,500","7,928,375","8,266,820","8,558,068","8,804,594"
Kazakhstan,Asia,https://public.flourish.studio/country-flags/svg/kz.svg,"4,293,509","4,532,708","4,770,603","5,003,536","5,228,041","5,452,216","5,662,917","5,859,779","6,046,922","6,230,759","6,408,730","6,581,101","6,755,503","6,929,978","7,100,797","7,231,119","7,353,713","7,470,406","7,584,615","7,712,618","7,860,836","8,014,706","8,172,964","8,336,063","8,504,655","8,627,224","8,755,397","8,885,484","9,004,706","9,157,731","9,198,366","9,241,068","9,219,538","9,143,728","8,997,216","8,844,256","8,714,741","8,581,354","8,437,818","8,363,651","8,349,417","8,346,075","8,357,267","8,396,312","8,465,822","8,552,467","8,654,578","8,765,446","8,884,337","9,133,481","9,275,230","9,421,047","9,566,957","9,718,100","9,874,723","10,032,906","10,189,588","10,342,065"
Kenya,Africa,https://public.flourish.studio/country-flags/svg/ke.svg,"596,722","632,543","670,816","716,059","765,269","817,880","874,399","935,126","1,000,339","1,070,470","1,158,444","1,256,447","1,363,225","1,479,149","1,605,073","1,741,663","1,889,975","2,050,233","2,223,987","2,412,236","2,535,197","2,650,352","2,770,878","2,896,235","3,026,061","3,159,720","3,297,262","3,438,436","3,583,198","3,731,054","3,919,452","4,120,929","4,329,249","4,544,313","4,765,984","4,994,283","5,229,567","5,471,748","5,722,352","5,982,378","6,256,130","6,541,545","6,839,097","7,149,731","7,474,468","7,813,466","8,168,124","8,538,861","8,925,839","9,328,191","9,746,644","10,183,670","10,639,302","11,114,369","11,607,776","12,119,879","12,650,892","13,201,277"
Kiribati,Oceania,https://public.flourish.studio/country-flags/svg/ki.svg,"6,717","7,149","7,606","8,089","8,594","9,116","9,658","10,219","10,798","11,503","12,328","13,187","14,080","15,008","15,748","16,333","16,940","17,568","18,219","18,743","19,157","19,562","19,971","20,403","20,891","21,467","22,163","22,947","23,773","24,585","25,335","25,995","26,584","27,137","27,696","28,301","29,500","31,073","32,733","34,464","36,259","37,325","37,987","38,680","39,415","40,208","41,503","43,211","44,993","46,811","48,647","50,481","52,328","54,188","56,083","58,023","60,000","61,996"
"Korea, Dem. People’s Rep.",Asia,https://public.flourish.studio/country-flags/svg/kp.svg,"4,591,948","4,801,792","5,002,265","5,202,147","5,416,792","5,657,804","5,928,685","6,225,377","6,670,524","7,230,596","7,810,437","8,101,104","8,395,298","8,685,964","8,965,387","9,227,778","9,393,163","9,537,097","9,668,482","9,800,200","9,941,648","10,115,489","10,300,538","10,493,294","10,688,400","10,881,595","11,071,095","11,258,893","11,448,171","11,643,563","11,847,897","12,062,742","12,285,859","12,509,840","12,717,847","12,902,692","13,068,443","13,217,337","13,354,498","13,487,796","13,622,622","13,761,345","13,901,661","14,040,268","14,172,917","14,295,887","14,408,747","14,512,776","14,610,822","14,725,515","14,847,670","14,971,082","15,095,843","15,220,957","15,345,595","15,468,715","15,594,344","15,722,317"
"Korea, Rep.",Asia,https://public.flourish.studio/country-flags/svg/kr.svg,"6,930,929","7,351,204","7,811,004","8,289,479","8,779,189","9,286,249","9,815,880","10,537,106","11,362,681","12,225,296","13,123,306","13,896,560","14,639,182","15,391,092","16,159,311","16,946,391","17,823,527","18,743,336","19,679,806","20,636,698","21,623,805","22,617,087","23,619,800","24,621,925","25,577,374","26,473,134","27,480,866","28,537,079","29,585,374","30,626,132","31,656,393","32,459,655","33,169,705","33,872,973","34,575,766","35,280,305","35,810,625","36,259,672","36,633,453","37,006,183","37,428,328","37,867,709","38,258,247","38,626,122","38,947,802","39,195,731","39,490,771","39,740,941","40,093,884","40,351,067","40,602,657","40,909,592","41,089,082","41,240,244","41,463,573","41,645,542","41,797,024","41,946,498"
Kuwait,Asia,https://public.flourish.studio/country-flags/svg/kw.svg,"201,925","228,374","259,338","294,457","333,133","375,400","423,643","475,255","529,320","584,571","639,688","692,539","745,146","798,607","854,640","916,132","988,403","1,063,822","1,141,669","1,220,766","1,300,697","1,380,509","1,457,118","1,533,756","1,615,282","1,702,527","1,797,859","1,902,633","1,997,006","2,054,155","2,057,077","1,994,704",,,,"1,579,984","1,604,408","1,690,047","1,812,572","1,934,795","2,030,234","2,107,414","2,143,833","2,169,118","2,207,939","2,276,623","2,377,258","2,503,410","2,652,340","2,818,939","2,998,083","3,191,051","3,395,556","3,598,385","3,782,450","3,935,794","4,052,584","4,136,528"
Kyrgyz Republic,Asia,https://public.flourish.studio/country-flags/svg/kg.svg,"742,514","778,534","813,050","849,091","886,206","922,554","960,953","999,643","1,039,135","1,077,271","1,108,956","1,136,657","1,165,888","1,195,196","1,226,436","1,257,236","1,287,423","1,317,380","1,346,753","1,373,807","1,397,293","1,421,871","1,448,346","1,476,863","1,504,955","1,531,357","1,558,567","1,586,429","1,612,568","1,639,650","1,658,864","1,673,404","1,679,864","1,667,475","1,654,017","1,657,660","1,669,279","1,680,607","1,693,186","1,708,661","1,729,037","1,745,422","1,761,468","1,779,932","1,801,551","1,821,882","1,841,521","1,859,060","1,876,703","1,899,444","1,923,436","1,949,521","1,986,238","2,031,430","2,079,480","2,131,200","2,185,215","2,240,912"
Lao PDR,Asia,https://public.flourish.studio/country-flags/svg/la.svg,"168,526","174,062","179,800","185,733","191,896","198,303","204,892","217,032","229,963","243,805","258,761","274,983","292,465","309,357","324,131","338,145","351,145","363,256","375,286","388,311","403,260","420,407","439,781","461,166","484,305","509,077","535,643","563,866","593,637","624,817","657,380","691,263","726,366","762,379","798,944","843,167","903,892","966,806","1,032,161","1,100,198","1,171,221","1,244,972","1,321,764","1,401,944","1,486,506","1,564,290","1,623,079","1,684,742","1,748,659","1,813,313","1,877,880","1,941,847","2,005,638","2,069,945","2,136,474","2,206,306","2,279,998","2,357,012"
Latvia,Europe,https://public.flourish.studio/country-flags/svg/lv.svg,"1,121,298","1,155,193","1,188,070","1,221,599","1,255,757","1,287,767","1,315,521","1,343,866","1,375,002","1,404,638","1,432,319","1,459,887","1,488,241","1,517,255","1,547,223","1,575,779","1,601,843","1,627,400","1,652,200","1,671,120","1,685,226","1,699,098","1,714,098","1,731,364","1,749,443","1,768,075","1,788,258","1,810,950","1,833,841","1,845,533","1,844,232","1,834,229","1,800,024","1,763,518","1,736,816","1,708,476","1,686,883","1,668,936","1,649,682","1,630,787","1,611,520","1,588,107","1,567,452","1,551,233","1,536,660","1,522,383","1,507,751","1,494,021","1,476,965","1,452,351","1,423,002","1,397,904","1,381,242","1,367,090","1,354,815","1,344,323","1,332,897","1,321,159"
Lebanon,Asia,https://public.flourish.studio/country-flags/svg/lb.svg,"764,260","821,153","880,852","942,369","1,004,417","1,065,737","1,125,238","1,182,811","1,240,370","1,300,758","1,366,372","1,437,081","1,512,393","1,589,254","1,661,765","1,725,146","1,776,936","1,818,074","1,852,033","1,884,336","1,919,371","1,959,168","2,002,872","2,047,858","2,089,847","2,125,796","2,153,979","2,176,378","2,198,914","2,215,239","2,246,747","2,297,535","2,365,228","2,441,272","2,513,303","2,572,925","2,614,677","2,642,965","2,670,836","2,711,085","2,782,415","2,893,443","3,038,095","3,196,806","3,341,494","3,453,690","3,520,238","3,551,180","3,578,338","3,647,168","3,787,799","4,014,088","4,308,540","4,631,890","4,927,916","5,155,504","5,301,846","5,378,567"
Lesotho,Africa,https://public.flourish.studio/country-flags/svg/ls.svg,"29,908","34,312","39,380","45,193","51,845","59,436","67,273","72,135","77,356","82,945","88,925","95,312","101,972","108,879","116,375","124,522","132,282","136,481","140,884","145,412","150,009","154,659","159,359","164,034","168,609","173,012","178,558","189,066","199,999","211,581","224,022","237,446","251,835","267,008","282,687","298,638","314,042","326,769","339,486","352,303","365,293","378,455","391,819","405,428","419,406","433,754","448,564","461,952","475,903","490,526","506,016","522,440","537,195","552,652","568,676","585,153","602,018","619,305"
Liberia,Africa,https://public.flourish.studio/country-flags/svg/lr.svg,"208,737","220,879","233,733","247,325","261,740","277,007","293,200","310,379","328,638","348,017","368,652","390,598","413,952","438,784","465,317","493,711","523,614","554,892","588,216","624,446","664,063","707,875","755,300","803,186","860,052","929,051","989,856","1,042,204","1,086,767","1,125,744","1,162,328","1,194,955","1,112,885","1,040,309","985,931","952,972","941,418","1,021,311","1,113,437","1,202,860","1,278,737","1,336,228","1,378,809","1,413,554","1,451,812","1,501,829","1,566,254","1,642,015","1,724,830","1,808,379","1,887,717","1,961,536","2,031,529","2,099,640","2,168,892","2,241,711","2,318,631","2,398,934"
Libya,Africa,https://public.flourish.studio/country-flags/svg/ly.svg,"395,751","422,411","451,116","482,119","515,758","583,535","661,916","748,526","843,704","947,351","1,059,744","1,180,739","1,310,191","1,446,980","1,553,514","1,660,751","1,771,545","1,885,646","2,003,887","2,127,329","2,256,652","2,392,023","2,532,831","2,676,858","2,821,276","2,922,768","3,016,116","3,105,292","3,191,227","3,275,646","3,359,573","3,443,529","3,526,949","3,608,599","3,686,889","3,760,790","3,829,689","3,894,958","3,958,609","4,023,343","4,091,098","4,162,142","4,235,679","4,311,254","4,388,044","4,465,004","4,543,585","4,623,269","4,699,126","4,764,444","4,815,137","4,848,087","4,866,376","4,879,698","4,901,804","4,942,449","5,005,653","5,088,027"
Liechtenstein,Europe,https://public.flourish.studio/country-flags/svg/li.svg,"3,371","3,432","3,476","3,524","3,576","3,631","3,690","3,753","3,815","3,874","3,924","3,990","4,066","4,139","4,213","4,294","4,382","4,473","4,567","4,653","4,727","4,769","4,784","4,791","4,797","4,802","4,811","4,821","4,833","4,847","4,866","4,896","4,937","4,982","5,030","5,082","5,103","5,092","5,080","5,062","5,036","5,038","5,071","5,097","5,118","5,137","5,153","5,167","5,180","5,193","5,207","5,226","5,250","5,280","5,314","5,350","5,387","5,429"
Lithuania,Europe,https://public.flourish.studio/country-flags/svg/lt.svg,"1,096,416","1,141,928","1,186,429","1,230,140","1,275,080","1,320,810","1,367,610","1,415,159","1,462,669","1,507,983","1,555,873","1,612,378","1,670,055","1,726,365","1,782,668","1,838,525","1,894,509","1,950,350","2,005,471","2,050,971","2,087,446","2,126,573","2,168,688","2,213,306","2,258,826","2,305,300","2,354,675","2,406,331","2,459,117","2,492,104","2,499,110","2,501,142","2,496,245","2,482,228","2,462,904","2,441,841","2,421,184","2,401,277","2,381,814","2,362,861","2,344,199","2,322,637","2,300,933","2,279,211","2,250,685","2,213,967","2,181,225","2,157,761","2,137,953","2,114,156","2,067,653","2,020,994","1,997,745","1,981,238","1,967,853","1,952,971","1,932,212","1,909,164"
Luxembourg,Europe,https://public.flourish.studio/country-flags/svg/lu.svg,"218,385","221,560","225,946","229,959","234,207","238,541","241,914","244,349","246,598","249,419","252,255","256,528","261,780","266,787","272,384","277,458","280,890","283,399","285,895","288,518","291,473","293,802","294,251","294,534","295,042","295,818","297,355","299,492","301,882","305,040","309,096","313,973","319,732","325,361","332,341","338,722","343,082","347,217","352,047","359,223","367,434","374,603","380,583","387,241","394,773","402,818","411,237","419,557","429,035","438,935","448,892","460,842","473,864","486,709","500,042","513,663","526,490","543,862"
"Macao SAR, China",Asia,https://public.flourish.studio/country-flags/svg/mo.svg,"159,891","162,501","168,358","176,462","185,782","195,461","205,446","215,699","225,350","233,321","238,888","241,794","242,292","240,954","238,758","236,532","234,387","232,361","231,186","231,735","234,591","240,153","248,428","258,606","269,937","281,814","294,157","306,968","319,757","331,942","343,120","353,074","361,875","369,852","377,548","385,339","393,488","401,564","409,837","418,604","427,979","438,081","448,896","460,147","471,453","482,559","493,320","503,823","514,348","525,313","536,969","549,439","562,531","575,841","588,781","600,942","612,167","622,567"
"Macedonia, FYR",Europe,https://public.flourish.studio/country-flags/svg/mk.svg,"506,445","530,905","556,983","584,162","612,702","642,626","674,297","707,589","741,943","776,357","810,135","839,249","856,892","874,006","891,985","911,764","933,788","957,558","982,219","1,006,329","1,028,849","1,048,562","1,064,239","1,078,352","1,091,378","1,103,635","1,115,347","1,126,352","1,136,544","1,145,664","1,153,600","1,160,779","1,168,616","1,176,350","1,184,939","1,181,760","1,181,331","1,183,203","1,186,409","1,189,473","1,191,346","1,191,774","1,191,042","1,189,365","1,187,142","1,185,316","1,183,894","1,182,764","1,182,023","1,181,804","1,182,164","1,183,165","1,184,793","1,187,094","1,190,072","1,193,689","1,198,005","1,202,983"
Madagascar,Africa,https://public.flourish.studio/country-flags/svg/mg.svg,"542,675","573,078","605,315","639,540","675,807","714,171","754,443","794,053","836,042","880,328","927,259","981,645","1,039,492","1,100,750","1,165,702","1,234,201","1,302,441","1,374,405","1,450,329","1,530,300","1,614,654","1,703,479","1,797,054","1,895,439","1,998,623","2,106,591","2,219,702","2,338,140","2,462,865","2,594,158","2,733,334","2,880,489","3,036,093","3,200,680","3,336,672","3,476,114","3,622,762","3,776,499","3,937,065","4,103,815","4,276,115","4,454,032","4,637,734","4,827,101","5,022,403","5,283,544","5,555,519","5,838,413","6,132,917","6,438,341","6,755,411","7,084,179","7,425,096","7,778,777","8,146,502","8,528,703","8,926,190","9,339,002"
Malawi,Africa,https://public.flourish.studio/country-flags/svg/mw.svg,"158,856","166,094","173,706","181,757","190,244","199,200","208,655","223,713","240,604","258,887","278,663","300,036","323,213","348,287","375,513","405,006","437,195","472,375","501,479","529,252","557,759","586,123","614,791","646,418","684,835","732,865","793,032","864,059","944,362","1,022,514","1,090,981","1,145,851","1,188,777","1,225,141","1,264,496","1,314,242","1,377,863","1,453,668","1,539,770","1,603,861","1,662,059","1,719,058","1,776,347","1,835,082","1,896,842","1,962,998","2,033,727","2,108,672","2,187,209","2,270,316","2,357,573","2,449,160","2,545,306","2,646,707","2,753,545","2,866,783","2,986,195","3,112,498"
Malaysia,Asia,https://public.flourish.studio/country-flags/svg/my.svg,"2,169,627","2,293,273","2,424,861","2,562,819","2,705,118","2,849,681","2,996,126","3,144,854","3,296,635","3,452,656","3,614,363","3,791,174","3,975,265","4,166,879","4,367,901","4,579,375","4,802,893","5,038,324","5,284,791","5,539,950","5,801,284","6,050,273","6,305,434","6,571,316","6,854,309","7,158,822","7,488,384","7,841,164","8,212,746","8,594,730","8,982,002","9,371,457","9,851,253","10,353,582","10,873,270","11,413,588","11,976,776","12,558,998","13,156,627","13,761,881","14,369,744","14,911,826","15,452,393","15,993,342","16,537,879","17,087,616","17,642,463","18,201,428","18,767,638","19,344,472","19,934,986","20,505,329","21,082,947","21,665,114","22,240,868","22,800,575","23,340,549","23,859,558"
Maldives,Asia,https://public.flourish.studio/country-flags/svg/mv.svg,"10,043","10,371","10,717","11,071","11,428","11,775","11,984","12,191","12,663","13,178","13,768","15,331","17,106","19,087","21,264","23,623","26,158","28,886","31,235","33,142","35,241","37,549","40,066","42,779","45,654","48,340","50,208","52,097","53,997","55,895","57,679","59,221","60,732","62,188","63,564","65,142","67,446","69,713","72,026","74,478","77,683","82,833","88,426","94,446","100,856","107,607","113,905","118,297","122,874","127,695","132,806","138,232","143,926","149,759","155,567","161,206","166,628","171,827"
