Country Name,Region,Image URL,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
Benin,Africa,https://public.flourish.studio/country-flags/svg/bj.svg,"225,533","243,036","262,053","282,715","305,170","329,545","356,057","384,830","416,031","449,720","486,099","525,276","567,564","613,051","662,185","715,202","772,494","834,085","900,437","965,278","1,016,236","1,070,018","1,126,940","1,187,099","1,250,621","1,317,607","1,388,168","1,462,441","1,541,340","1,625,791","1,716,834","1,815,044","1,910,225","1,995,344","2,082,662","2,170,765","2,259,203","2,348,391","2,439,225","2,533,357","2,631,925","2,735,157","2,847,830","2,973,327","3,103,024","3,236,233","3,372,954","3,513,642","3,658,706","3,808,656","3,964,237","4,125,667","4,292,992","4,466,187","4,646,096","4,832,681","5,026,155","5,226,648"
Bermuda,Americas,https://public.flourish.studio/country-flags/svg/bm.svg,"44,400","45,500","46,600","47,700","48,900","50,100","51,000","52,000","53,000","54,000","55,000","54,600","54,200","53,800","53,400","53,000","53,200","53,400","53,600","53,800","54,670","55,050","55,449","55,930","56,423","56,898","57,382","57,849","58,347","58,841","59,326","59,021","58,595","58,910","59,320","59,746","60,129","60,497","60,943","61,285","61,833","62,504","62,912","63,325","63,740","64,154","64,523","64,888","65,273","65,636","65,124","64,564","64,798","65,001","65,139","65,239","65,341","65,441"
Bhutan,Asia,https://public.flourish.studio/country-flags/svg/bt.svg,"8,029","8,681","9,386","10,154","10,996","11,927","12,955","14,091","15,337","16,694","18,164","19,755","21,481","23,343","25,366","27,565","29,957","32,543","35,332","38,304","41,457","44,754","48,209","51,895","55,953","60,458","65,570","71,262","77,224","82,959","88,049","92,203","95,473","98,299","101,488","105,740","111,417","118,446","126,740","135,946","145,751","156,126","167,184","178,851","191,028","203,328","213,177","223,048","232,968","242,987","253,168","263,510","273,862","284,175","294,414","304,545","314,543","324,393"
Bolivia,Americas,https://public.flourish.studio/country-flags/svg/bo.svg,"1,357,786","1,395,202","1,433,798","1,473,628","1,514,810","1,557,286","1,601,227","1,646,632","1,693,563","1,742,044","1,792,218","1,844,009","1,897,509","1,952,801","2,010,085","2,069,524","2,131,079","2,221,487","2,324,287","2,430,642","2,540,518","2,653,552","2,770,078","2,889,746","3,012,564","3,138,013","3,266,233","3,397,152","3,531,295","3,668,833","3,810,495","3,956,298","4,103,656","4,224,565","4,348,565","4,475,711","4,605,924","4,739,199","4,875,066","5,013,057","5,152,734","5,293,751","5,432,830","5,572,414","5,713,437","5,855,775","5,999,633","6,144,681","6,291,265","6,439,212","6,588,688","6,739,791","6,892,386","7,040,875","7,187,232","7,334,947","7,484,112","7,634,445"
Bosnia and Herzegovina,Europe,https://public.flourish.studio/country-flags/svg/ba.svg,"614,167","647,394","685,299","724,833","765,518","806,727","848,311","890,331","933,087","977,062","1,022,901","1,069,057","1,112,020","1,156,160","1,201,235","1,246,859","1,292,835","1,339,106","1,386,246","1,434,929","1,485,646","1,532,011","1,561,402","1,591,113","1,621,131","1,650,958","1,681,899","1,713,034","1,739,343","1,753,764","1,751,849","1,730,193","1,690,871","1,643,212","1,599,507","1,568,888","1,554,869","1,555,082","1,566,015","1,581,423","1,596,481","1,610,263","1,624,126","1,637,548","1,650,456","1,662,550","1,673,624","1,683,242","1,690,609","1,694,907","1,695,707","1,692,377","1,685,432","1,677,009","1,670,315","1,668,019","1,671,121","1,679,019"
Botswana,Africa,https://public.flourish.studio/country-flags/svg/bw.svg,"16,051","16,639","17,263","17,927","19,271","22,926","27,270","32,443","38,596","45,875","54,493","64,663","72,018","79,779","88,446","98,143","108,990","121,052","134,398","149,031","164,981","182,259","209,680","241,894","277,910","317,779","361,700","409,650","461,716","517,738","577,800","641,666","676,133","706,781","737,697","768,558","799,303","829,904","860,274","890,252","919,805","948,753","971,320","992,910","1,015,059","1,038,238","1,062,710","1,108,982","1,156,989","1,206,481","1,257,518","1,310,088","1,353,208","1,395,705","1,439,239","1,483,586","1,528,669","1,574,371"
Brazil,Americas,https://public.flourish.studio/country-flags/svg/br.svg,"33,315,843","35,036,038","36,830,967","38,699,975","40,632,217","42,614,884","44,649,390","46,735,257","48,873,647","51,058,529","53,296,257","55,601,915","57,962,113","60,375,977","62,858,800","65,416,319","68,051,067","70,755,737","73,536,292","76,391,349","79,320,872","82,319,314","85,387,337","88,504,411","91,645,752","94,786,163","97,923,276","101,051,513","104,173,596","107,289,048","110,404,093","113,511,305","116,609,474","119,705,248","122,818,031","125,958,401","129,130,417","132,441,101","135,763,838","139,064,280","142,319,498","144,961,004","147,507,656","150,005,801","152,448,023","154,831,127","157,150,590","159,407,908","161,618,007","163,798,391","165,968,133","168,150,531","170,322,404","172,470,371","174,585,892","176,653,700","178,668,678","180,634,620"
British Virgin Islands,Americas,https://public.flourish.studio/country-flags/svg/vg.svg,982,"1,029","1,080","1,135","1,195","1,259","1,327","1,400","1,476","1,552","1,631","1,712","1,795","1,878","1,959","2,040","2,117","2,193","2,275","2,373","2,502","2,720","2,974","3,265","3,595","3,955","4,358","4,792","5,262","5,744","6,225","6,661","6,869","7,059","7,246","7,447","7,662","7,892","8,131","8,378","8,624","8,866","9,113","9,375","9,672","10,011","10,403","10,840","11,305","11,763","12,200","12,598","12,972","13,324","13,674","14,028","14,397","14,767"
Brunei Darussalam,Asia,https://public.flourish.studio/country-flags/svg/bn.svg,"35,478","38,713","42,135","45,777","49,683","53,901","58,454","63,334","68,550","74,078","79,920","86,067","90,552","94,913","99,333","103,781","108,244","112,722","117,177","121,597","125,968","130,253","134,496","138,735","143,043","147,498","152,086","156,816","161,692","166,729","171,932","177,299","183,769","190,475","197,242","204,004","210,724","217,384","223,998","230,585","237,148","243,701","249,904","255,928","261,711","267,161","272,241","276,995","281,602","286,325","291,345","296,731","302,433","308,332","314,262","320,100","325,819","331,434"
Bulgaria,Europe,https://public.flourish.studio/country-flags/svg/bg.svg,"2,918,796","3,080,500","3,244,762","3,411,401","3,582,451","3,753,817","3,900,528","4,030,377","4,165,384","4,304,295","4,440,047","4,555,020","4,667,082","4,782,137","4,905,140","5,019,834","5,126,058","5,232,150","5,317,153","5,402,887","5,503,013","5,566,106","5,627,272","5,685,942","5,743,706","5,787,617","5,822,722","5,862,424","5,900,092","5,861,908","5,786,939","5,759,256","5,726,692","5,704,408","5,704,237","5,697,800","5,687,307","5,671,407","5,652,100","5,638,810","5,629,167","5,539,603","5,448,708","5,433,321","5,419,782","5,406,009","5,391,557","5,378,166","5,366,322","5,357,245","5,347,166","5,337,678","5,331,472","5,326,274","5,320,503","5,310,996","5,298,039","5,283,572"
